iter	Passed	Remaining
0	2	259
1	4	198
2	4	144
3	4	114
4	5	98
5	5	87
6	6	80
7	6	74
8	6	69
9	7	66
10	7	62
11	8	59
12	8	57
13	8	55
14	9	53
15	9	51
16	10	49
17	10	48
18	10	46
19	11	45
20	11	44
21	12	43
22	12	42
23	12	41
24	13	40
25	13	39
26	14	38
27	14	37
28	15	37
29	15	36
30	15	35
31	16	34
32	16	34
33	17	33
34	17	32
35	18	32
36	18	31
37	18	30
38	19	30
39	19	29
40	20	28
41	20	27
42	20	27
43	21	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	23	22
51	24	22
52	24	21
53	25	21
54	25	20
55	25	20
56	26	19
57	26	19
58	26	18
59	27	18
60	27	17
61	28	17
62	28	16
63	29	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	13
69	31	13
70	31	13
71	32	12
72	32	12
73	33	11
74	33	11
75	33	10
76	34	10
77	34	9
78	35	9
79	35	8
80	35	8
81	36	7
82	36	7
83	37	7
84	37	6
85	37	6
86	38	5
87	38	5
88	39	4
89	39	4
90	39	3
91	40	3
92	40	3
93	41	2
94	41	2
95	41	1
96	42	1
97	42	0
98	43	0
99	43	0
